branchname,district,division,region,state,pincode
Pamidi,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515775
Amingaon,Kamrup,Guwahati,Guwahati HQ,Assam,781031
Gokarna,Murshidabad,Murshidabad,Calcutta,West Bengal,742136
Arjansar,Patan,Patan,Ahmedabad HQ,Gujarat,385340
KRISHNARAJANAGARA,none,none,none,none,none
Rampur,Gaya,Gaya,Patna HQ,Bihar,804403
Chamba,Chamba,Chamba,Shimla HQ,Himachal Pradesh,176310
TELHARA,none,none,none,none,none
HULIYURDURGA,none,none,none,none,none
HULIYURDURGA,none,none,none,none,none
Dudhnoi,Goalpara,Goalpara,Guwahati HQ,Assam,783124
Paras,Akola,Akola,Nagpur,Maharashtra,444109
MUGHALSARAI,none,none,none,none,none
VADAKKENCHERRY,none,none,none,none,none
Ghanauli,Rupnagar,Chandigarh,Chandigarh HQ,Punjab,140113
Bagora,Darjiling,Darjeeling,North Bengal And Sikkim,West Bengal,734224
Chandrapur,East Singhbhum,Singhbhum,Ranchi,Jharkhand,832101
Malancha,Puruliya,Purulia,South Bengal,West Bengal,723132
HARDWAR,none,none,none,none,none
Vijayapura,Alwar,Alwar,Jaipur HQ,Rajasthan,301024
REENGUS,none,none,none,none,none
Veppampattu,Vellore,Vellore,Chennai Region,Tamil Nadu,632113
Narsipatnam,Visakhapatnam,Anakapalle,Visakhapatnam,Andhra Pradesh,531116
Bagha,Lohardaga,Ranchi,Ranchi,Jharkhand,835302
Prithvipur,Jaunpur,Jaunpur,Allahabad,Uttar Pradesh,222203
Sardhar,Rajkot,Rajkot,Rajkot,Gujarat,360025
Khinwara,Pali,Pali,Jodhpur,Rajasthan,306502
Mallanwala,Firozpur,Ferozpur,Chandigarh Region,Punjab,152021
Barabanki,Barabanki,Barabanki,Lucknow  HQ,Uttar Pradesh,225001
DHARTALE,none,none,none,none,none
Parkal,Warangal,Hanamkonda,Hyderabad,Telangana,506164
Karauli,Karauli,Sawaimadhopur,Jaipur HQ,Rajasthan,322241
Nirakarpur,Khorda,Puri,Bhubaneswar HQ,Odisha,752019
KAILARAS,none,none,none,none,none
Baheri,Ghazipur,Ghazipur,Allahabad,Uttar Pradesh,233223
Eral,Tuticorin,Tuticorin,Madurai,Tamil Nadu,628801
Mathania,Jhalawar,Kota,Ajmer,Rajasthan,326036
Manendragarh,Koriya,Raigarh,Raipur,Chattisgarh,497442
Nirmal,Warangal,Hanamkonda,Hyderabad,Telangana,506303
Karamala,Ernakulam,Alwaye,Kochi,Kerala,686662
Shamgarh,Mandsaur,Mandsaur,Indore,Madhya Pradesh,458883
Jaijaipur,Janjgir-champa,Bilaspur,Raipur,Chattisgarh,495690
Darsi,Prakasam,Prakasam,Vijayawada,Andhra Pradesh,523247
RAMSRA,none,none,none,none,none
Bad,Belgaum,Gokak,North Karnataka,Karnataka,591225
Chatra,Godda,Santhal Parganas,Ranchi,Jharkhand,814153
Anantpur,Belgaum,Chikodi,North Karnataka,Karnataka,591212
Tasgaon,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416122
Amaravathi,Guntur,Guntur,Vijayawada,Andhra Pradesh,522020
Kapasan,Chittorgarh,Chittorgarh,Ajmer,Rajasthan,312202
Narayanpet,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509210
KALE,none,none,none,none,none
Sayalgudi,Ramanathapuram,Ramanathapuram,Madurai,Tamil Nadu,623120
Bishnupur,Hooghly,Hooghly South,South Bengal,West Bengal,712410
Gangakhed,Parbhani,Pharbhani,Aurangabad,Maharashtra,431514
Mora,Saharanpur,Saharanpur,Bareilly,Uttar Pradesh,247453
GUSKARA,none,none,none,none,none
Kharagpur,Morena,Morena,Gwalior,Madhya Pradesh,476444
Indi,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586209
TIRUPATHUR,none,none,none,none,none
Dharampur,Jalpaiguri,Jalpaiguri,North Bengal And Sikkim,West Bengal,735305
Sojat,Pali,Pali,Jodhpur,Rajasthan,306104
GUDIBANDE,none,none,none,none,none
Bhesan,Surat,Surat,Vadodara,Gujarat,395005
OTTAPPALAM,none,none,none,none,none
FARUKHABAD,none,none,none,none,none
Amb,Una,Una,Shimla HQ,Himachal Pradesh,177203
Tiruvuru,Krishna,Vijayawada,Vijayawada,Andhra Pradesh,521235
Rajanagaram,Kurnool,Nandyal,Kurnool,Andhra Pradesh,518573
Dhubri,Dhubri,Goalpara,Guwahati HQ,Assam,783301
Kushalnagar,Kodagu,Kodagu,South Karnataka,Karnataka,571234
Mangawan,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486111
Bhiloda,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383245
Hosanagar,Shimoga,Shimoga,South Karnataka,Karnataka,577418
Biraul,Darbhanga,Darbhanga,Muzaffarpur,Bihar,847203
Niali,Cuttack,Cuttack City,Bhubaneswar HQ,Odisha,754004
Kuchipudi,Nalgonda,Suryapet,Hyderabad,Telangana,508238
YERRAGONDAPALEM,none,none,none,none,none
Shiggaon,Haveri,Haveri,North Karnataka,Karnataka,581205
Nadeli,Bareilly,Bareilly,Bareilly,Uttar Pradesh,243201
UKLANA,none,none,none,none,none
KADABA,none,none,none,none,none
Lokapur,Bagalkot,Bagalkot,North Karnataka,Karnataka,587122
Madhira,Khammam,Khammam,Vijayawada,Telangana,507203
JIRAPUR,none,none,none,none,none
Guntakal,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515801
KARUNAGAPPALLY,none,none,none,none,none
Palitana,Bhavnagar,Bhavnagar,Rajkot,Gujarat,364270
MAVLI,none,none,none,none,none
Derabassi,Mohali,Chandigarh,Chandigarh HQ,Punjab,140507
Telta,Katihar,Purnea,Muzaffarpur,Bihar,854317
Hardoi,Raebareli,Rae Bareilly,Lucknow  HQ,Uttar Pradesh,229123
Tirupati,Chittoor,Tirupati,Kurnool,Andhra Pradesh,517501
Puliyangudi,Tirunelveli,Kovilpatti,Madurai,Tamil Nadu,627855
Mathura,South Andaman,A - N Islands,Calcutta HQ,Andaman & Nicobar,744206
SHRINAGARTALI,none,none,none,none,none
CUMBUM,none,none,none,none,none
KALWARA,none,none,none,none,none
Hanumana,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486335
Kota,Ranchi,Ranchi,Ranchi,Jharkhand,835225
SAKARKHERDA,none,none,none,none,none
KHARKHODA,none,none,none,none,none
Begusarai,Begusarai,Begusarai,Muzaffarpur,Bihar,851101
MUNOLLI,none,none,none,none,none
Nambiyur,Erode,Erode,Coimbatore,Tamil Nadu,638458
Paddhari,Rajkot,Rajkot,Rajkot,Gujarat,360110
Rajnagar,Murshidabad,Murshidabad,Calcutta,West Bengal,742227
CHANGANASSERY,none,none,none,none,none
Datia,Gumla,Ranchi,Ranchi,Jharkhand,835324
Daund,Pune,Pune Moffusil,Pune,Maharashtra,413801
Kadra,West Midnapore,Midnapore,South Bengal,West Bengal,721253
JANDAHA,none,none,none,none,none
BADHNI,none,none,none,none,none
Mairwa,Siwan,Siwan,Muzaffarpur,Bihar,841239
Ambah,Morena,Morena,Gwalior,Madhya Pradesh,476111
Sangod,Kota,Kota,Ajmer,Rajasthan,325601
Umreth,Anand,Anand,Vadodara,Gujarat,388220
Parwanoo,Solan,Solan,Shimla HQ,Himachal Pradesh,173220
Bilasipara,Dhubri,Goalpara,Guwahati HQ,Assam,783348
TARKESHWAR,none,none,none,none,none
Thodupuzha,Idukki,Idukki,Kochi,Kerala,685584
SUNDER,none,none,none,none,none
AHWA,none,none,none,none,none
Madikeri,Kodagu,Kodagu,South Karnataka,Karnataka,571201
Khomai,Betul,Chhindwara,Bhopal HQ,Madhya Pradesh,460220
Bhinder,Amritsar,Amritsar,Chandigarh Region,Punjab,143112
Laxmeshwar,Almora,Almora,Dehradun,Uttarakhand,263601
Jalgaon,Buldhana,Buldana,Nagpur,Maharashtra,443402
KHAVDI,none,none,none,none,none
M,none,none,none,none,none
Basudebpur,Howrah,Howrah,South Bengal,West Bengal,711316
Lohaghat,Champawat,Pithoragarh,Dehradun,Uttarakhand,262524
Julana,Jind,Karnal,Ambala  HQ,Haryana,126101
MASTI,none,none,none,none,none
Bakshi,Howrah,Howrah,South Bengal,West Bengal,711303
Aurangabad,Kanpur Dehat,Kanpur Moffusil,Kanpur,Uttar Pradesh,209310
MNOKHA,none,none,none,none,none
BHAGVAN,none,none,none,none,none
Chotila,Pali,Pali,Jodhpur,Rajasthan,306421
Kharagpur,Morena,Morena,Gwalior,Madhya Pradesh,476444
Bhanvad,Jamnagar,Jamnagar,Rajkot,Gujarat,360510
Mapusa,North Goa,Goa,Goa-Panaji,Goa,403507
VIZAG,none,none,none,none,none
