branchname,district,division,region,state,pincode
Begumganj,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464881
Rajana,Chhindwara,Chhindwara,Bhopal HQ,Madhya Pradesh,480337
Pithoragarh,Pithoragarh,Pithoragarh,Dehradun,Uttarakhand,262501
Biswan,Sitapur,Sitapur,Lucknow  HQ,Uttar Pradesh,261201
Aland,Buldhana,Buldana,Nagpur,Maharashtra,443206
Basirhat,North 24 Parganas,Barasat,Calcutta,West Bengal,743411
Lohara,Mandi,Mandi,Shimla HQ,Himachal Pradesh,175027
Mahud,Durg,Durg,Raipur,Chattisgarh,491222
Ajitwal,Moga,Faridkot,Chandigarh Region,Punjab,142053
Halol,Panch Mahals,Panchmahals,Vadodara,Gujarat,389350
THIRUVALLA,none,none,none,none,none
Doraha,Udham Singh Nagar,Nainital,Dehradun,Uttarakhand,262401
RAILA,none,none,none,none,none
Toshina,Nagaur,Nagaur,Jodhpur,Rajasthan,341319
Addanki,Prakasam,Prakasam,Vijayawada,Andhra Pradesh,523201
THURAIYUR,none,none,none,none,none
Hindupur,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515201
Boko,Kamrup,Guwahati,Guwahati HQ,Assam,781123
Sivasagar,Sibsagar,Sibsagar,Dibrugarh,Assam,785640
NUZIVEEDU,none,none,none,none,none
Umargam,Valsad,Valsad,Vadodara,Gujarat,396170
Salempur,Dholpur,Dholpur,Jaipur HQ,Rajasthan,328022
Rewa,Rewa,Rewa,Bhopal HQ,Madhya Pradesh,486001
Balichandrapur,Jajapur,Cuttack North,Bhubaneswar HQ,Odisha,754205
Sujangarh,Churu,Churu,Jodhpur,Rajasthan,331507
Honnali,Davangere,Shimoga,South Karnataka,Karnataka,577217
VIKASNAGAR,none,none,none,none,none
Talegaon,Nanded,Nanded,Aurangabad,Maharashtra,431807
JAGATSINGHAPUR,none,none,none,none,none
Tandur,Nizamabad,Nizamabad,Hyderabad,Telangana,503108
Yavatmal,Yavatmal,Yeotmal,Nagpur,Maharashtra,445001
Bilhaur,Kanpur Dehat,Kanpur Moffusil,Kanpur,Uttar Pradesh,209202
Wadsa,Nanded,Nanded,Aurangabad,Maharashtra,431721
Chanchal,Malda,Malda,North Bengal And Sikkim,West Bengal,732123
Kanekal,Yadgir,Gulbarga,North Karnataka,Karnataka,585221
Raghogarh,Guna,Guna,Gwalior,Madhya Pradesh,473226
CHERPULASSERY,none,none,none,none,none
Arwal,Arwal,Gaya,Patna HQ,Bihar,804401
Multai,Betul,Chhindwara,Bhopal HQ,Madhya Pradesh,460661
BANKEY,none,none,none,none,none
Gangakhed,Parbhani,Pharbhani,Aurangabad,Maharashtra,431514
Ichalkaranji,Kolhapur,Kolhapur,Goa-Panaji,Maharashtra,416115
Hariana,Hoshiarpur,Hoshiarpur,Chandigarh Region,Punjab,144208
Kakinada,East Godavari,Kakinada,Visakhapatnam,Andhra Pradesh,533001
DEGLUR,none,none,none,none,none
Kadipur,Sultanpur,Sultanpur,Lucknow  HQ,Uttar Pradesh,228145
Katangi,Sagar,Sagar,Bhopal HQ,Madhya Pradesh,470051
Ranpur,Bankura,Bankura,South Bengal,West Bengal,722207
Dharwad,Dharwad,Dharwad,North Karnataka,Karnataka,580001
Hangal,Hassan,Hassan,South Karnataka,Karnataka,573113
Nagda,Ujjain,Ujjain,Indore,Madhya Pradesh,456335
Bikaner,Bikaner,Bikaner,Jodhpur,Rajasthan,334001
Falna,Pali,Pali,Jodhpur,Rajasthan,306116
Ramgarh,Banswara,Dungarpur,Ajmer,Rajasthan,327801
Tirupati,Chittoor,Tirupati,Kurnool,Andhra Pradesh,517501
Mukhed,Nashik,Malegaon,Aurangabad,Maharashtra,422209
Barkagaon,Hazaribag,Hazaribagh,Ranchi,Jharkhand,825311
Galiveedu,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516267
Ratia,Porbandar,Porbandar,Rajkot,Gujarat,360576
Bonaigarh,Sundergarh,Sundargarh,Sambalpur,Odisha,770038
Pernambut,Vellore,Tirupattur,Coimbatore,Tamil Nadu,635810
Dirba,Sangrur,Sangrur,Chandigarh HQ,Punjab,148035
BODVAD,none,none,none,none,none
Bhadravati,Shimoga,Shimoga,South Karnataka,Karnataka,577301
ATRU,Baran,Kota,Ajmer,Rajasthan,325218
Mahad,Tehri Garhwal,Tehri,Dehradun,Uttarakhand,249122
Chennur,Yadgir,Gulbarga,North Karnataka,Karnataka,585355
Kodad,Nalgonda,Suryapet,Hyderabad,Telangana,508206
Hajipur,Jagatsinghapur,Cuttack South,Bhubaneswar HQ,Odisha,754111
MIRYALAGUDA,none,none,none,none,none
Jamshedpur,East Singhbhum,Singhbhum,Ranchi,Jharkhand,831001
Kanigiri,Prakasam,Prakasam,Vijayawada,Andhra Pradesh,523230
Agar,West Midnapore,Midnapore,South Bengal,West Bengal,721222
Jalpaiguri,Jalpaiguri,Jalpaiguri,North Bengal And Sikkim,West Bengal,735101
Bina,Supaul,Saharsa,Muzaffarpur,Bihar,852131
Shikrapur,Pune,Pune Moffusil,Pune,Maharashtra,412208
DEVARAKONDA,none,none,none,none,none
Taraori,Karnal,Karnal,Ambala  HQ,Haryana,132116
Surat,Surat,Surat,Vadodara,Gujarat,395003
Dhansura,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383310
Nurmahal,Jalandhar,Kapurthala,Chandigarh Region,Punjab,144039
Naldurg,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413602
KELAMBAKAM,none,none,none,none,none
Karimganj,Karimganj,Cachar,Guwahati HQ,Assam,788710
Sardarpur,Junagadh,Junagadh,Rajkot,Gujarat,362020
Perambalur,Cuddalore,Vriddhachalam,Tiruchy,Tamil Nadu,606302
Bhadrak,Bhadrak,Bhadrak,Bhubaneswar HQ,Odisha,756100
Rania,Ranchi,Ranchi,Ranchi,Jharkhand,835227
Kanjari,Kheda,Kheda,Vadodara,Gujarat,387325
Buxar,Buxar,Bhojpur,Patna HQ,Bihar,802101
Bhainsa,Bharatpur,Bharatpur,Jaipur HQ,Rajasthan,321301
CHITRAKOOT,none,none,none,none,none
Sangat,Bathinda,Bhatinda,Chandigarh Region,Punjab,151401
TIRUPATHI,none,none,none,none,none
Dongargaon,Solapur,Pandharpur,Pune,Maharashtra,413309
Rajaldesar,Churu,Churu,Jodhpur,Rajasthan,331802
NEEM,none,none,none,none,none
Osmanabad,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413501
Dumri,Balrampur,Gonda,Gorakhpur,Uttar Pradesh,271206
Supa,Mahoba,Banda,Kanpur,Uttar Pradesh,210421
Muzaffarpur,Nawanshahr,Jalandhar,Chandigarh Region,Punjab,144515
Bhuna,Fatehabad,Hissar,Ambala  HQ,Haryana,125111
Kurukshetra,Kurukshetra,Kurukshetra,Ambala  HQ,Haryana,136118
Periyanaickenpalayam,Coimbatore,Coimbatore,Coimbatore,Tamil Nadu,641020
Simrol,Shajapur,Ujjain,Indore,Madhya Pradesh,465113
Bemetara,Durg,Durg,Raipur,Chattisgarh,491335
Gairatganj,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464884
Azamgarh,Gaya,Aurangabad(Bihar),Patna HQ,Bihar,824217
Bareli,Shahdol,Shahdol,Bhopal HQ,Madhya Pradesh,484770
Alirajpur,Alirajpur,Ratlam,Indore,Madhya Pradesh,457887
Waidhan,Singrauli,Shahdol,Bhopal HQ,Madhya Pradesh,486886
Jawalamukhi,Kangra,Dehra Gopipur,Shimla HQ,Himachal Pradesh,176031
Rajula,Amreli,Amreli,Rajkot,Gujarat,365560
Erode,Erode,Erode,Coimbatore,Tamil Nadu,638001
Atmakur,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515631
BADHRA,none,none,none,none,none
Devalapura,Mysore,Mysore,South Karnataka,Karnataka,571311
Pratappur,Dhule,Dhule,Aurangabad,Maharashtra,424310
Junoni,Solapur,Pandharpur,Pune,Maharashtra,413307
NEYVELI,none,none,none,none,none
Bhuntar,Kullu,Mandi,Shimla HQ,Himachal Pradesh,175125
Athani,Belgaum,Chikodi,North Karnataka,Karnataka,591304
NAINWA,none,none,none,none,none
Nidagundi,Belgaum,Chikodi,North Karnataka,Karnataka,591317
Begun,Chittorgarh,Chittorgarh,Ajmer,Rajasthan,312023
Bihta,Bulandshahr,Bulandshahar,Agra,Uttar Pradesh,203402
Jhabua,Jhabua,Ratlam,Indore,Madhya Pradesh,457661
Virudhunagar,Virudhunagar,Virudhunagar,Madurai,Tamil Nadu,626001
Murliganj,Madhepura,Saharsa,Muzaffarpur,Bihar,852122
Bagli,Kota,Kota,Ajmer,Rajasthan,325009
Sadasivpet,Medak,Sangareddy,Hyderabad,Telangana,502291
Nangal,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333307
Barara,Hamirpur(HP),Hamirpur,Shimla HQ,Himachal Pradesh,177023
Bakhri,Siwan,Siwan,Muzaffarpur,Bihar,841203
Maynaguri,Jalpaiguri,Jalpaiguri,North Bengal And Sikkim,West Bengal,735224
MEGHARAJ,none,none,none,none,none
Churu,Churu,Churu,Jodhpur,Rajasthan,331001
Loha,Nanded,Nanded,Aurangabad,Maharashtra,431713
Meerganj,Sant Kabir Nagar,Basti,Gorakhpur,Uttar Pradesh,272175
Koothattukulam,Ernakulam,Alwaye,Kochi,Kerala,686662
TADIPATRI,none,none,none,none,none
Udupi,Udupi,Udupi,South Karnataka,Karnataka,576101
HARDWAR,none,none,none,none,none
Vandavasi,Tiruvannamalai,Tiruvannamalai,Chennai Region,Tamil Nadu,604408
Kotputli,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303108
Sasaram,Rohtas,Rohtas,Patna HQ,Bihar,821115
Tendukheda,Narsinghpur,Hoshangabad,Bhopal HQ,Madhya Pradesh,487770
Bhinder,Amritsar,Amritsar,Chandigarh Region,Punjab,143112
Batala,Gurdaspur,Gurdaspur,Chandigarh Region,Punjab,143505
Madanapalle,Chittoor,Chittoor,Kurnool,Andhra Pradesh,517325
Haldarvas,Kheda,Kheda,Vadodara,Gujarat,387110
Doiwala,Dehradun,Dehradun,Dehradun,Uttarakhand,248140
GADCHANDUR,none,none,none,none,none
Nana,Kangra,Dehra Gopipur,Shimla HQ,Himachal Pradesh,176023
ANAKAPALLI,none,none,none,none,none
Maddur,Kurnool,Nandyal,Kurnool,Andhra Pradesh,518593
Pathanamthitta,Pathanamthitta,Pathanamthitta,Trivandrum  HQ,Kerala,689645
Balesar,Jodhpur,Jodhpur,Jodhpur,Rajasthan,342023
Auraiya,Auraiya,Etawah,Agra,Uttar Pradesh,206122
Mirzapur,Bijnor,Bijnor,Bareilly,Uttar Pradesh,246747
Vani,Ramanathapuram,Ramanathapuram,Madurai,Tamil Nadu,623536
PERAMBRA,none,none,none,none,none
Sardarshahar,Churu,Churu,Jodhpur,Rajasthan,331403
Jhansi,Jhansi,Jhansi,Agra,Uttar Pradesh,284001
Sendhwa,Barwani,Khandwa,Indore,Madhya Pradesh,451666
Lalpur,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333023
B,none,none,none,none,none
GAJENDRAGARH,none,none,none,none,none
GAJENDRAGARH,none,none,none,none,none
Cuddapah,Cuddapah,Cuddapah,Kurnool,Andhra Pradesh,516001
Ramgarh,Banswara,Dungarpur,Ajmer,Rajasthan,327801
Ajmer,Rajkot,Gondal,Rajkot,Gujarat,360055
Rajkot,Tonk,Tonk,Ajmer,Rajasthan,304802
PAMURU,none,none,none,none,none
KUDAL,none,none,none,none,none
Golaghat,Golaghat,Sibsagar,Dibrugarh,Assam,785621
HONAWAR,none,none,none,none,none
Marthandam,Kanyakumari,Kanniyakumari,Madurai,Tamil Nadu,629165
Gobichettipalayam,Dharmapuri,Dharmapuri,Coimbatore,Tamil Nadu,635305
Munger,Munger,Monghyr,Patna HQ,Bihar,811201
Surendranagar,Surendra Nagar,Surendranagar,Rajkot,Gujarat,363001
Vasundhara,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532215
Aruppukottai,Virudhunagar,Virudhunagar,Madurai,Tamil Nadu,626101
SINGRAULI,none,none,none,none,none
Shamshabad,Sitapur,Sitapur,Lucknow  HQ,Uttar Pradesh,261206
Kaniha,Kamrup,Guwahati,Guwahati HQ,Assam,781380
Mayiladuthurai,Nagapattinam,Mayiladuthurai,Tiruchy,Tamil Nadu,609001
Turuvekere,Tumkur,Tumkur,South Karnataka,Karnataka,572227
GHATSHILA,none,none,none,none,none
Hoskote,Bangalore Rural,Channapatna,Bangalore HQ,Karnataka,562114
Dhule,Dhule,Dhule,Aurangabad,Maharashtra,424001
Khedbrahma,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383255
DACHEPALLE,none,none,none,none,none
Raiganj,Bahraich,Bahraich,Gorakhpur,Uttar Pradesh,271830
THREE,none,none,none,none,none
Purulia,Puruliya,Purulia,South Bengal,West Bengal,723101
ANGAMALY,none,none,none,none,none
Haldia,Mayurbhanj,Mayurbhanj,Bhubaneswar HQ,Odisha,757039
Haspura,Aurangabad(BH),Aurangabad(Bihar),Patna HQ,Bihar,824120
Bellary,Bellary,Bellary,North Karnataka,Karnataka,583101
NILAGIRI,none,none,none,none,none
Gorakhpur,Raisen,Vidisha,Bhopal HQ,Madhya Pradesh,464774
Bolpur,Birbhum,Birbhum,Calcutta,West Bengal,731204
Sangrur,Sangrur,Sangrur,Chandigarh HQ,Punjab,148001
Seoni,Raipur,Raipur,Raipur,Chattisgarh,493996
Srikalahasti,Chittoor,Tirupati,Kurnool,Andhra Pradesh,517644
Chhatarpur,Kanpur Nagar,Kanpur City,Kanpur,Uttar Pradesh,209214
Padra,Vadodara,Vadodara West,Vadodara,Gujarat,391440
JORANDA,none,none,none,none,none
Narasannapeta,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532421
Kangra,Kangra,Dehra Gopipur,Shimla HQ,Himachal Pradesh,176001
Shapar,Junagadh,Amreli,Rajkot,Gujarat,365440
Umbraj,Satara,Satara,Pune,Maharashtra,415109
Tirupattur,Vellore,Tirupattur,Coimbatore,Tamil Nadu,635601
Khilchipur,Rajgarh,Sehore,Indore,Madhya Pradesh,465679
Suni,Hoshiarpur,Hoshiarpur,Chandigarh Region,Punjab,144520
BAIRAD,none,none,none,none,none
Kolar,Raipur,Raipur,Raipur,Chattisgarh,493661
Makrana,Nagaur,Nagaur,Jodhpur,Rajasthan,341505
Tangi,Khorda,Puri,Bhubaneswar HQ,Odisha,752023
Ambala,Mahesana,Mahesana,Ahmedabad HQ,Gujarat,384210
Bada,Kachchh,Kutch,Rajkot,Gujarat,370475
Bada,Kachchh,Kutch,Rajkot,Gujarat,370475
Dahanu,Thane,Thane West,Mumbai,Maharashtra,401601
Nakrekal,Nalgonda,Suryapet,Hyderabad,Telangana,508211
Narsapur,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509407
Jorhat,Jorhat,Sibsagar,Dibrugarh,Assam,785001
Sanchore,Jalor,Sirohi,Jodhpur,Rajasthan,343041
Ahmednagar,Ahmed Nagar,Ahmednagar,Pune,Maharashtra,414001
PAYYANNUR,none,none,none,none,none
Khanapur,Bijapur(KAR),Bijapur,North Karnataka,Karnataka,586128
Baroda,Seoni,Balaghat,Bhopal HQ,Madhya Pradesh,480999
Navapur,Nandurbar,Dhule,Aurangabad,Maharashtra,425418
Bhadrachalam,Khammam,Khammam,Vijayawada,Telangana,507111
Sirhind,Fatehgarh Sahib,Patiala,Chandigarh HQ,Punjab,140406
THIRUPUVANAM,none,none,none,none,none
Chikhli,Rajnandgaon,Durg,Raipur,Chattisgarh,491668
CUMBUM,none,none,none,none,none
Purnia,Bhagalpur,Bhagalpur,Patna HQ,Bihar,812005
Umorkote,none,none,none,none,none
Dudu,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303008
Buhari,Tapi,Bardoli,Vadodara,Gujarat,394630
THIRUTHANI,none,none,none,none,none
Gajraula,Jyotiba Phule Nagar,Moradabad,Bareilly,Uttar Pradesh,244235
Shirur,Uttara Kannada,Karwar,North Karnataka,Karnataka,581357
Bolpur,Birbhum,Birbhum,Calcutta,West Bengal,731204
HATHKALNGLE,none,none,none,none,none
BUD,none,none,none,none,none
VADAKKENCHERRY,none,none,none,none,none
VADAKKENCHERRY,none,none,none,none,none
Semiliguda,Koraput,Koraput,Berhampur,Odisha,764036
ANANDAPURA,none,none,none,none,none
Kangra,Kangra,Dehra Gopipur,Shimla HQ,Himachal Pradesh,176001
Chiplun,Ratnagiri,Ratnagiri,Goa-Panaji,Maharashtra,415605
AMALNER,none,none,none,none,none
Bhatgaon,Hoshangabad,Hoshangabad,Bhopal HQ,Madhya Pradesh,461771
Sarni,Betul,Chhindwara,Bhopal HQ,Madhya Pradesh,460447
Rajpura,Churu,Churu,Jodhpur,Rajasthan,331029
Shahdol,Shahdol,Shahdol,Bhopal HQ,Madhya Pradesh,484001
PIPARCITY,none,none,none,none,none
V,none,none,none,none,none
Hassan,Hassan,Hassan,South Karnataka,Karnataka,573201
Kodarma,Koderma,Hazaribagh,Ranchi,Jharkhand,825410
Bhatpar,Gorakhpur,Gorakhpur,Gorakhpur,Uttar Pradesh,273402
Digboi,Tinsukia,Tinsukia,Dibrugarh,Assam,786171
Rawla,Ganganagar,Sriganganagar,Jodhpur,Rajasthan,335707
AKRANI,none,none,none,none,none
Dhamangaon,Jalgaon,Jalgaon,Aurangabad,Maharashtra,424106
Amalsad,Navsari,Navsari,Vadodara,Gujarat,396310
SRI,none,none,none,none,none
Bihar,Farrukhabad,Fatehgarh,Kanpur,Uttar Pradesh,209652
NAIDUPETA,none,none,none,none,none
Siruguppa,Bellary,Bellary,North Karnataka,Karnataka,583121
Rajgarh,Shivpuri,Guna,Gwalior,Madhya Pradesh,473774
Markapur,Prakasam,Nandyal,Kurnool,Andhra Pradesh,523316
Muktsar,Muktsar,Faridkot,Chandigarh Region,Punjab,152026
Idar,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383430
Gadwal,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509125
Gangtok,East Sikkim,Sikkim,North Bengal And Sikkim,Sikkim,737101
Kalol,Gandhi Nagar,Gandhinagar,Ahmedabad HQ,Gujarat,382721
Bhikhi,Mansa,Bhatinda,Chandigarh Region,Punjab,151504
Rayadurg,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515865
Gulabpura,Sabarkantha,Sabarkantha,Ahmedabad HQ,Gujarat,383434
Raxaul,East Champaran,East Champaran,Muzaffarpur,Bihar,845305
Raiganj,Bahraich,Bahraich,Gorakhpur,Uttar Pradesh,271830
Shimoga,Shimoga,Shimoga,South Karnataka,Karnataka,577201
BUD,none,none,none,none,none
Khursapar,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441103
Bhilai,Raipur,Raipur,Raipur,Chattisgarh,493441
Kala,Jamui,Monghyr,Patna HQ,Bihar,811312
BANGARAPET,none,none,none,none,none
Brahmapur,South 24 Parganas,South Presidency,Calcutta,West Bengal,700096
VIDYAPATI,none,none,none,none,none
Villupuram,Villupuram,Pondicherry,Chennai Region,Tamil Nadu,605602
Ambur,Vellore,Tirupattur,Coimbatore,Tamil Nadu,635802
PALAKOLLU,none,none,none,none,none
Bhinmal,Jalor,Sirohi,Jodhpur,Rajasthan,343029
Valsad,Valsad,Valsad,Vadodara,Gujarat,396001
Mokila,K.V.Rangareddy,Secunderabad,Hyderabad City,Telangana,501203
Roha,Kachchh,Kutch,Rajkot,Gujarat,370030
Rangia,Kamrup,Guwahati,Guwahati HQ,Assam,781354
Neral,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,410101
Khopoli,Raigarh(MH),New Mumbai,Mumbai,Maharashtra,410203
SAROJINI,none,none,none,none,none
Bilaspur,Kokrajhar,Goalpara,Guwahati HQ,Assam,783372
SAMLASER,none,none,none,none,none
Malvan,Panch Mahals,Panchmahals,Vadodara,Gujarat,389265
Depalpur,Indore,Indore Moffusil,Indore,Madhya Pradesh,453115
Mazbat,Darrang,Darrang,Guwahati HQ,Assam,784507
Tembhurni,Nanded,Nanded,Aurangabad,Maharashtra,431722
Shimoga,Shimoga,Shimoga,South Karnataka,Karnataka,577201
Chilakaluripet,Guntur,Narasaraopet,Vijayawada,Andhra Pradesh,522616
Pirangut,Pune,Pune Moffusil,Pune,Maharashtra,412115
PANDAVESWAR,none,none,none,none,none
Tarapur,Solapur,Pandharpur,Pune,Maharashtra,413304
Nipani,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413534
Krishnagiri,Kurnool,Nandyal,Kurnool,Andhra Pradesh,518124
Khed,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413508
Kirnapur,Balaghat,Balaghat,Bhopal HQ,Madhya Pradesh,481115
Sirsaganj,Firozabad,Mainpuri,Agra,Uttar Pradesh,283151
Vandiperiyar,Idukki,Idukki,Kochi,Kerala,685533
Ratibad,Bhopal,Bhopal,Bhopal HQ,Madhya Pradesh,462044
Lokapur,Bagalkot,Bagalkot,North Karnataka,Karnataka,587122
Ajnala,Amritsar,Amritsar,Chandigarh Region,Punjab,143102
MAMARKHERA,none,none,none,none,none
Gulbarga,Gulbarga,Gulbarga,North Karnataka,Karnataka,585101
Bajna,Karauli,Sawaimadhopur,Jaipur HQ,Rajasthan,322218
DAHEGAM,none,none,none,none,none
Harishchandrapur,Malda,Malda,North Bengal And Sikkim,West Bengal,732125
Rampurhat,Birbhum,Birbhum,Calcutta,West Bengal,731224
Samba,Surat,Bardoli,Vadodara,Gujarat,394248
Sultanpur,Belgaum,Chikodi,North Karnataka,Karnataka,591235
BISSAM,none,none,none,none,none
Contai,East Midnapore,Contai,South Bengal,West Bengal,721401
SHILLONG,none,none,none,none,none
Mahajan,Bikaner,Bikaner,Jodhpur,Rajasthan,334604
Nalagarh,Solan,Solan,Shimla HQ,Himachal Pradesh,174101
Nuapada,Jagatsinghapur,Cuttack South,Bhubaneswar HQ,Odisha,754133
Por,Gandhi Nagar,Gandhinagar,Ahmedabad HQ,Gujarat,382421
Katol,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441302
SADHULPUR,none,none,none,none,none
Mandi,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303005
Adampur,Fatehgarh Sahib,Patiala,Chandigarh HQ,Punjab,140406
Kannad,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431103
Timarni,Harda,Hoshangabad,Bhopal HQ,Madhya Pradesh,461228
Hapur,Ghaziabad,Ghaziabad,Lucknow  HQ,Uttar Pradesh,245101
Mandal,Chamoli,Chamoli,Dehradun,Uttarakhand,246401
Pathankot,Gurdaspur,Gurdaspur,Chandigarh Region,Punjab,145001
Thirumangalam,Tiruchirappalli,Tiruchirapalli,Tiruchy,Tamil Nadu,621703
Hirekerur,Haveri,Haveri,North Karnataka,Karnataka,581111
Utnoor,Nizamabad,Nizamabad,Hyderabad,Telangana,503145
Jogipet,Medak,Sangareddy,Hyderabad,Telangana,502270
Sangamner,Ahmed Nagar,Shrirampur,Pune,Maharashtra,422605
Panskura,East Midnapore,Tamluk,South Bengal,West Bengal,721139
BASMAT,none,none,none,none,none
Haliyal,Uttara Kannada,Sirsi,North Karnataka,Karnataka,581329
Anjar,Kachchh,Kutch,Rajkot,Gujarat,370110
Kohir,Medak,Sangareddy,Hyderabad,Telangana,502210
Sadulshahar,Ganganagar,Sriganganagar,Jodhpur,Rajasthan,335062
TITLAGARH,none,none,none,none,none
Arrah,Ananthnag,Srinagar,Srinagar HQ,Jammu & Kashmir,192231
Bundi,Bundi,Tonk,Ajmer,Rajasthan,323001
Karad,Sikar,Sikar,Jodhpur,Rajasthan,332710
Nahan,Sirmaur,Solan,Shimla HQ,Himachal Pradesh,173001
Saundatti,Belgaum,Belgaum,North Karnataka,Karnataka,591126
Gurgaon,Bareilly,Bareilly,Bareilly,Uttar Pradesh,243303
Ropar,Rupnagar,Chandigarh,Chandigarh HQ,Punjab,140001
Swarupganj,Nadia,Nadia North,Calcutta,West Bengal,741315
Malegaon,Nagpur,Nagpur Moffusil,Nagpur,Maharashtra,441107
Chandausi,Moradabad,Moradabad,Bareilly,Uttar Pradesh,244412
Korba,Korba,Bilaspur,Raipur,Chattisgarh,495677
Falakata,Jalpaiguri,Jalpaiguri,North Bengal And Sikkim,West Bengal,735211
NARASIGHPUR,none,none,none,none,none
JATANI,none,none,none,none,none
Bharuch,Bharuch,Bharuch,Vadodara,Gujarat,392001
Dharapuram,Erode,Tirupur,Coimbatore,Tamil Nadu,638656
DEVGADH,none,none,none,none,none
Badnagar,Rajgarh,Sehore,Indore,Madhya Pradesh,465667
Etawah,Etawah,Etawah,Agra,Uttar Pradesh,206001
Chandrapur,East Singhbhum,Singhbhum,Ranchi,Jharkhand,832101
Sindhanur,Raichur,Raichur,North Karnataka,Karnataka,584128
Dwarka,Goalpara,Goalpara,Guwahati HQ,Assam,783120
Bhokar,Nanded,Nanded,Aurangabad,Maharashtra,431801
Baghpat,Bagpat,Meerut,Bareilly,Uttar Pradesh,250609
Pathri,Aurangabad,Aurangabad(Maharashtra),Aurangabad,Maharashtra,431111
Sayla,Kheda,Kheda,Vadodara,Gujarat,387530
PILERU,none,none,none,none,none
Nanded,Pune,Pune City West,Pune,Maharashtra,411041
Jhargram,West Midnapore,Midnapore,South Bengal,West Bengal,721507
Singhewala,Muktsar,Faridkot,Chandigarh Region,Punjab,152113
DHARIYAWAD,none,none,none,none,none
Sriganganagar,Ganganagar,Sriganganagar,Jodhpur,Rajasthan,335001
Balurghat,South Dinajpur,West Dinajpur,North Bengal And Sikkim,West Bengal,733101
KOPARGAON,none,none,none,none,none
Hilsa,Jamui,Monghyr,Patna HQ,Bihar,811301
Palani,Dhanbad,Dhanbad,Ranchi,Jharkhand,828201
Dhupguri,Jalpaiguri,Jalpaiguri,North Bengal And Sikkim,West Bengal,735210
Junnar,Pune,Pune Moffusil,Pune,Maharashtra,410502
MURTAZAPUR,none,none,none,none,none
Rajpardi,Bharuch,Bharuch,Vadodara,Gujarat,393115
KASIBUGGA,none,none,none,none,none
Shahapur,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413603
Kudligi,Bellary,Bellary,North Karnataka,Karnataka,583135
DEORUKH,none,none,none,none,none
Karaikudi,Sivaganga,Karaikudi,Madurai,Tamil Nadu,630001
Ambasamudram,Tirunelveli,Tirunelveli,Madurai,Tamil Nadu,627401
Lanja,Ratnagiri,Ratnagiri,Goa-Panaji,Maharashtra,416701
Mouda,Bhadrak,Bhadrak,Bhubaneswar HQ,Odisha,756181
Sadri,Pali,Pali,Jodhpur,Rajasthan,306702
Siddapur,Bagalkot,Bagalkot,North Karnataka,Karnataka,587301
DHARAMJAIGARH,none,none,none,none,none
Saharanpur,Saharanpur,Saharanpur,Bareilly,Uttar Pradesh,247001
Puttaparthi,Ananthapur,Hindupur,Kurnool,Andhra Pradesh,515134
Shimoga,Shimoga,Shimoga,South Karnataka,Karnataka,577201
Saha,Ambala,Ambala,Ambala  HQ,Haryana,133104
Shorapur,Yadgir,Gulbarga,North Karnataka,Karnataka,585224
Maheshkhunt,Khagaria,Begusarai,Muzaffarpur,Bihar,851213
Charkhi,Bhiwani,Bhiwani,Ambala  HQ,Haryana,127306
Halvad,Surendra Nagar,Surendranagar,Rajkot,Gujarat,363330
Khambhalia,Jamnagar,Jamnagar,Rajkot,Gujarat,361305
Ramanathapuram,Tiruvannamalai,Tiruvannamalai,Chennai Region,Tamil Nadu,606905
Rishikesh,Bilaspur (HP),Hamirpur,Shimla HQ,Himachal Pradesh,174001
Nangal,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333307
Chhani,Bageshwar,Almora,Dehradun,Uttarakhand,263628
